id,name,date,time,location,category,description,ticketLink,image,status
70,Winter Jazz at The Birdcage,2025-12-21,19:00,The Birdcage Norwich,gigs,Cozy Saturday night jazz session featuring local musicians. Perfect way to start your weekend with smooth tunes and drinks.,,,approved
71,Saturday Night DnB at Epic,2025-12-21,22:00,Epic Studios,nightlife,Drum & Bass night with local DJs spinning the latest jungle and liquid tracks. 18+ event.,https://www.skiddle.com/whats-on/Norwich/Epic-Studios/,,approved
72,Norwich Market Christmas Shopping,2025-12-21,09:00,Norwich Market,markets,"Last-minute Christmas shopping at Norwich Market. Fresh produce, gifts, and festive treats from local vendors.",,,approved
73,Sunday Folk Session,2025-12-22,14:00,The Murderers Pub,gigs,"Traditional folk music session. Bring your instruments or just enjoy the tunes. Free entry, all welcome.",,,approved
74,Christmas Carol Service,2025-12-22,18:00,Norwich Cathedral,free,"Traditional Christmas carol service with the cathedral choir. Beautiful candlelit service, all welcome.",,,approved
75,Monday Night Quiz,2025-12-23,20:00,The Plough,community,"Weekly pub quiz with festive round! Teams of up to 6, prizes for winners. Free entry.",,,approved
76,Christmas Eve at The Forum,2025-12-24,11:00,"The Forum, Millennium Plain",free,"Christmas Eve celebrations with carol singers, hot chocolate, and festive activities for families.",,,approved
77,Christmas Eve DJ Night,2025-12-24,21:00,Revolucion De Cuba Norwich,nightlife,"Pre-Christmas celebration with live DJs, cocktails, and Latin vibes. Get in the party spirit!",,,approved
78,Boxing Day Football Screening,2025-12-26,15:00,The Coach and Horses,sports,Watch the Premier League Boxing Day fixtures on the big screen. Food and drinks available.,,,approved
79,Boxing Day Walk,2025-12-26,10:00,Earlham Park,free,Post-Christmas walk to burn off those extra calories! Casual 5k walk around Earlham Park. All welcome.,,,approved
80,After-Christmas Sales at Norwich Lanes,2025-12-27,09:00,Norwich Lanes,markets,Boxing Day sales continue! Browse independent shops in the historic Norwich Lanes for amazing deals.,,,approved
81,End of Year House Party,2025-12-28,22:00,Waterfront Norwich,nightlife,Pre-NYE party with house and techno DJs. Get ready for New Year with this massive club night!,https://www.waterfrontnorwich.com/,,approved
82,New Year's Eve Prep Workshop,2025-12-30,14:00,"The Forum, Millennium Plain",community,Make your own NYE decorations and party poppers! Free workshop for families.,,,approved
1,4am Kru - Norwich,2026-02-20,22:00,Epic Studios,nightlife,4am Kru land in Norwich for an immersive take in live jungle.,https://www.skiddle.com/whats-on/Norwich/Epic-Studios/4am-Kru---Norwich/41585204/,,approved
2,New Year's Eve at RevoluciÃ³n de Cuba Norwich,2025-12-31,20:00,Revolucion De Cuba Norwich,nightlife,"Bring in AÃ±o Nuevo the Cuban way - with live music, rum cocktails, samba vibes, and Latin heat all night long for 2026.",https://www.skiddle.com/whats-on/Norwich/Revolucion-De-Cuba-Norwich/New-Years-Eve-at-Revolucin-de-Cuba-Norwich/41472569/,,approved
3,90s Baby Daytime Clubbing - With The Over 30s Club,2026-01-31,15:00,Above Kerry's Norwich,nightlife,"The ultimate party for grown-ups - club classics, top DJs, and it's all done by 8PM. No kids, no drama.",https://www.skiddle.com/whats-on/Norwich/Above-Kerry%27s-Norwich/90s-Baby-Daytime-Clubbing---With-The-Over-30s-Club/41592449/,,approved
4,Raw Material,2026-03-07,20:00,Kudos Bar And Nightclub,nightlife,Raw Material return to Norwich in 2026 with a heavyweight TBA.,https://www.skiddle.com/whats-on/Norwich/Kudos-Bar-And-Nightclub/Raw-Material/41495013/,,approved
5,The Greatest MUSICALS Daytime Disco - Norwich,2026-02-07,13:00,"Be At One, Norwich",nightlife,"Expect music from Hamilton, Grease, Dirty Dancing, High School Musical, Wicked & Mama Mia to The Greatest Showman, Frozen & Six.",https://www.skiddle.com/whats-on/Norwich/Be-At-One/The-Greatest-MUSICALS-Daytime-Disco---Norwich/41364501/,,approved
6,Symphonic Ibiza Orchestra | Earlham Park Concert,2026-06-12,17:00,Earlham Park,culture,The Symphonic Ibiza Orchestra comes to Norwich! Prepare for an unforgettable night as a 40-piece orchestra performs the greatest Ibiza dance anthems.,https://www.skiddle.com/whats-on/Norwich/Earlham-Park/Symphonic-Ibiza-Orchestra--Earlham-Park-Concert/41445961/,,approved
